Name, Avg. CPU, Avg. FPS, Avg. time, render time, flush time
Empty screen, 76%, 247, 3, 3, 0
Moving wallpaper, 76%, 244, 8, 8, 0
Single rectangle, 2%, 984, 0, 0, 0
Multiple rectangles, 81%, 196, 3, 3, 0
Multiple RGB images, 26%, 744, 1, 1, 0
Multiple ARGB images, 40%, 596, 1, 1, 0
Rotated ARGB images, 76%, 236, 9, 9, 0
Multiple labels, 95%, 51, 15, 15, 0
Screen sized text, 97%, 28, 32, 32, 0
Multiple arcs, 12%, 878, 0, 0, 0
Containers, 14%, 858, 3, 3, 0
Containers with overlay, 93%, 73, 12, 12, 0
Containers with opa, 20%, 799, 4, 4, 0
Containers with opa_layer, 26%, 741, 7, 7, 0
Containers with scrolling, 94%, 60, 14, 14, 0
Widgets demo, 98%, 22, 24, 24, 0
All scenes avg.,57%, 422, 8, 8, 0
